,session,type,outcome,sponsor_count,section_count,word_count
BILLS-115hr1000ih,115,hr,ih,29,9,8273
BILLS-115hr1001ih,115,hr,ih,22,2,289
BILLS-115hr1002ih,115,hr,ih,14,13,4014
BILLS-115hr1003ih,115,hr,ih,1,3,432
BILLS-115hr1003rh,115,hr,rh,1,3,530
BILLS-115hr1004eh,115,hr,eh,0,2,941
BILLS-115hr1004ih,115,hr,ih,6,2,935
BILLS-115hr1004rfs,115,hr,rfs,0,2,932
BILLS-115hr1004rh,115,hr,rh,9,2,1040
BILLS-115hr1005eh,115,hr,eh,0,1,365
BILLS-115hr1005ih,115,hr,ih,1,1,378
BILLS-115hr1005rfs,115,hr,rfs,0,1,361
BILLS-115hr1005rh,115,hr,rh,49,1,596
BILLS-115hr1006ih,115,hr,ih,33,2,809
BILLS-115hr1007ih,115,hr,ih,3,2,631
BILLS-115hr1008ih,115,hr,ih,2,3,174
BILLS-115hr1009eh,115,hr,eh,0,3,4480
BILLS-115hr1009ih,115,hr,ih,3,2,4092
BILLS-115hr1009rfs,115,hr,rfs,0,3,4472
BILLS-115hr1009rh,115,hr,rh,4,2,4237
BILLS-115hr100ih,115,hr,ih,2,2,195
BILLS-115hr1010ih,115,hr,ih,1,2,245
BILLS-115hr1011ih,115,hr,ih,1,2,313
BILLS-115hr1012ih,115,hr,ih,1,2,330
BILLS-115hr1013ih,115,hr,ih,3,2,440
BILLS-115hr1014ih,115,hr,ih,19,2,509
BILLS-115hr1015ih,115,hr,ih,13,2,1212
BILLS-115hr1016ih,115,hr,ih,7,2,1445
BILLS-115hr1017ih,115,hr,ih,3,3,501
BILLS-115hr1018ih,115,hr,ih,2,4,1705
BILLS-115hr1019ih,115,hr,ih,7,2,229
BILLS-115hr101ih,115,hr,ih,1,2,382
BILLS-115hr1020ih,115,hr,ih,2,3,693
BILLS-115hr1021ih,115,hr,ih,3,3,890
BILLS-115hr1022ih,115,hr,ih,45,6,2007
BILLS-115hr1023ih,115,hr,ih,2,2,520
BILLS-115hr1024ih,115,hr,ih,1,1,264
BILLS-115hr1025ih,115,hr,ih,3,2,585
BILLS-115hr1026eh,115,hr,eh,0,4,348
BILLS-115hr1026ih,115,hr,ih,19,2,283
BILLS-115hr1026pcs,115,hr,pcs,0,4,386
BILLS-115hr1026rh,115,hr,rh,37,4,589
BILLS-115hr1027ih,115,hr,ih,5,5,1298
BILLS-115hr1028ih,115,hr,ih,1,5,1427
BILLS-115hr1029eas,115,hr,eas,0,2,18540
BILLS-115hr1029eh,115,hr,eh,0,6,20634
BILLS-115hr1029ih,115,hr,ih,1,6,20673
BILLS-115hr1029rfs,115,hr,rfs,0,6,20622
BILLS-115hr1029rh,115,hr,rh,1,6,20854
BILLS-115hr1029rs,115,hr,rs,1,7,38380
BILLS-115hr102ih,115,hr,ih,1,5,3101
BILLS-115hr1030ih,115,hr,ih,1,2,393
BILLS-115hr1031ih,115,hr,ih,14,1,209
BILLS-115hr1032ih,115,hr,ih,2,2,264
BILLS-115hr1033eh,115,hr,eh,0,2,779
BILLS-115hr1033ih,115,hr,ih,9,2,807
BILLS-115hr1033rds,115,hr,rds,0,2,740
BILLS-115hr1034ih,115,hr,ih,6,7,909
BILLS-115hr1035ih,115,hr,ih,8,2,322
BILLS-115hr1036ih,115,hr,ih,3,5,1861
BILLS-115hr1037eh,115,hr,eh,0,1,455
BILLS-115hr1037enr,115,hr,enr,0,1,455
BILLS-115hr1037ih,115,hr,ih,11,2,908
BILLS-115hr1037pcs,115,hr,pcs,0,1,493
BILLS-115hr1037rh,115,hr,rh,16,1,647
BILLS-115hr1038ih,115,hr,ih,18,2,472
BILLS-115hr1039eh,115,hr,eh,0,2,327
BILLS-115hr1039ih,115,hr,ih,2,2,337
BILLS-115hr1039rfs,115,hr,rfs,0,2,309
BILLS-115hr1039rh,115,hr,rh,3,2,446
BILLS-115hr103ih,115,hr,ih,1,3,368
BILLS-115hr1040ih,115,hr,ih,2,4,2748
BILLS-115hr1041ih,115,hr,ih,3,3,448
BILLS-115hr1042ih,115,hr,ih,10,2,261
BILLS-115hr1043ih,115,hr,ih,1,1,195
BILLS-115hr1044ih,115,hr,ih,2,2,496
BILLS-115hr1045ih,115,hr,ih,36,2,480
BILLS-115hr1046ih,115,hr,ih,2,18,7041
BILLS-115hr1047ih,115,hr,ih,10,2,545
BILLS-115hr1048ih,115,hr,ih,1,2,416
